Year,Month,Area Name,Adjusted,Employed,Unemployed,Labor Force,Unemployment Rate
2022,November,Cayuga County,Not Seasonally Adjusted,"34,100","1,000","35,100",2.90%
2022,November,Chautauqua County,Not Seasonally Adjusted,"50,800","1,900","52,700",3.60%
2022,November,Chemung County,Not Seasonally Adjusted,"33,100","1,200","34,300",3.40%
2022,November,Chenango County,Not Seasonally Adjusted,"20,800",600,"21,400",2.90%
2022,November,Clinton County,Not Seasonally Adjusted,"34,200","1,000","35,200",3.00%
2022,November,Columbia County,Not Seasonally Adjusted,"29,200",700,"29,900",2.40%
2022,November,Cortland County,Not Seasonally Adjusted,"21,800",800,"22,600",3.50%
2022,November,Delaware County,Not Seasonally Adjusted,"17,500",600,"18,100",3.30%
2022,November,Dutchess County,Not Seasonally Adjusted,"138,700","3,900","142,600",2.70%
2022,November,Erie County,Not Seasonally Adjusted,"426,700","14,300","441,000",3.20%
2022,November,Essex County,Not Seasonally Adjusted,"15,200",500,"15,800",3.40%
2022,November,Franklin County,Not Seasonally Adjusted,"18,000",600,"18,600",3.40%
2022,November,Fulton County,Not Seasonally Adjusted,"21,500",800,"22,300",3.60%
2022,November,Genesee County,Not Seasonally Adjusted,"28,400",800,"29,200",2.80%
2022,November,Greene County,Not Seasonally Adjusted,"19,100",600,"19,700",3.20%
2022,November,Hamilton County,Not Seasonally Adjusted,"2,000",100,"2,100",5.50%
2022,November,Herkimer County,Not Seasonally Adjusted,"26,000",900,"26,900",3.50%
2022,November,Jefferson County,Not Seasonally Adjusted,"41,600","1,700","43,300",3.90%
2022,November,Kings County,Not Seasonally Adjusted,"1,144,100","63,800","1,207,800",5.30%
2022,November,Lewis County,Not Seasonally Adjusted,"11,000",400,"11,400",3.50%
2022,November,Livingston County,Not Seasonally Adjusted,"29,000",900,"29,800",2.90%
2022,November,Madison County,Not Seasonally Adjusted,"31,800","1,000","32,800",2.90%
2022,November,Monroe County,Not Seasonally Adjusted,"350,600","11,200","361,800",3.10%
2022,November,Montgomery County,Not Seasonally Adjusted,"21,400",800,"22,200",3.70%
2022,November,Nassau County,Not Seasonally Adjusted,"705,100","18,500","723,600",2.60%
2022,November,New York County,Not Seasonally Adjusted,"881,700","38,100","919,800",4.10%
2022,November,Niagara County,Not Seasonally Adjusted,"93,800","3,300","97,100",3.40%
2022,November,Oneida County,Not Seasonally Adjusted,"95,600","3,200","98,800",3.20%
2022,November,Onondaga County,Not Seasonally Adjusted,"218,300","6,500","224,800",2.90%
2022,November,Ontario County,Not Seasonally Adjusted,"53,700","1,500","55,200",2.70%
2022,November,Orange County,Not Seasonally Adjusted,"183,600","5,400","189,000",2.90%
2022,November,Orleans County,Not Seasonally Adjusted,"16,300",500,"16,800",3.30%
2022,November,Oswego County,Not Seasonally Adjusted,"51,000","1,900","53,000",3.70%
2022,November,Otsego County,Not Seasonally Adjusted,"25,700",800,"26,600",3.10%
2022,November,Putnam County,Not Seasonally Adjusted,"49,400","1,300","50,700",2.60%
2022,November,Queens County,Not Seasonally Adjusted,"1,087,400","51,700","1,139,100",4.50%
2022,November,Rensselaer County,Not Seasonally Adjusted,"79,900","2,200","82,100",2.70%
2022,November,Richmond County,Not Seasonally Adjusted,"216,000","11,000","227,000",4.90%
2022,November,Rockland County,Not Seasonally Adjusted,"154,300","4,000","158,300",2.50%
2022,November,Saratoga County,Not Seasonally Adjusted,"118,600","2,900","121,400",2.40%
2022,November,Schenectady County,Not Seasonally Adjusted,"75,500","2,300","77,800",2.90%
2022,November,Schoharie County,Not Seasonally Adjusted,"14,200",500,"14,600",3.20%
2022,November,Schuyler County,Not Seasonally Adjusted,"7,600",300,"7,800",3.40%
2022,November,Seneca County,Not Seasonally Adjusted,"14,200",400,"14,600",2.80%
2022,November,St. Lawrence County,Not Seasonally Adjusted,"41,500","1,600","43,100",3.80%
2022,November,Steuben County,Not Seasonally Adjusted,"39,100","1,300","40,400",3.30%
2022,November,Suffolk County,Not Seasonally Adjusted,"771,800","22,200","794,000",2.80%
2022,November,Sullivan County,Not Seasonally Adjusted,"35,700","1,100","36,800",2.90%
2022,November,Tioga County,Not Seasonally Adjusted,"21,500",600,"22,100",2.80%
2022,November,Tompkins County,Not Seasonally Adjusted,"49,200","1,300","50,500",2.60%
2022,November,Ulster County,Not Seasonally Adjusted,"84,300","2,400","86,700",2.70%
2022,November,Warren County,Not Seasonally Adjusted,"29,700","1,000","30,700",3.30%
2022,November,Washington County,Not Seasonally Adjusted,"26,000",800,"26,800",2.90%
2022,November,Wayne County,Not Seasonally Adjusted,"41,600","1,200","42,800",2.80%
2022,November,Westchester County,Not Seasonally Adjusted,"479,200","13,600","492,800",2.80%
2022,November,Wyoming County,Not Seasonally Adjusted,"16,400",500,"16,900",3.20%
2022,November,Yates County,Not Seasonally Adjusted,"11,000",300,"11,400",2.80%
2022,October,Albany County,Not Seasonally Adjusted,"156,400","4,200","160,600",2.60%
2022,October,Allegany County,Not Seasonally Adjusted,"18,700",600,"19,300",3.20%
2022,October,Bronx County,Not Seasonally Adjusted,"560,600","41,200","601,800",6.80%
2022,October,Broome County,Not Seasonally Adjusted,"79,700","2,600","82,300",3.10%
2022,October,Cattaraugus County,Not Seasonally Adjusted,"31,600","1,100","32,700",3.20%
2022,October,Cayuga County,Not Seasonally Adjusted,"34,800","1,000","35,700",2.70%
2022,October,Chautauqua County,Not Seasonally Adjusted,"52,000","1,700","53,700",3.20%
2022,October,Chemung County,Not Seasonally Adjusted,"33,500","1,100","34,500",3.10%
2022,October,Chenango County,Not Seasonally Adjusted,"21,100",500,"21,700",2.50%
2022,October,Clinton County,Not Seasonally Adjusted,"34,600",900,"35,500",2.70%
2022,October,Columbia County,Not Seasonally Adjusted,"29,700",700,"30,400",2.20%
2022,October,Cortland County,Not Seasonally Adjusted,"22,100",700,"22,800",2.90%
2022,October,Delaware County,Not Seasonally Adjusted,"17,900",600,"18,400",3.00%
2022,October,Dutchess County,Not Seasonally Adjusted,"141,000","3,800","144,700",2.60%
2022,October,Erie County,Not Seasonally Adjusted,"432,600","13,400","446,100",3.00%
2022,October,Essex County,Not Seasonally Adjusted,"15,800",400,"16,200",2.50%
2022,October,Franklin County,Not Seasonally Adjusted,"18,400",500,"19,000",2.90%
2022,October,Fulton County,Not Seasonally Adjusted,"21,800",700,"22,500",3.20%
2022,October,Genesee County,Not Seasonally Adjusted,"28,900",700,"29,700",2.40%
2022,October,Greene County,Not Seasonally Adjusted,"19,500",600,"20,100",2.80%
2022,October,Hamilton County,Not Seasonally Adjusted,"2,100",100,"2,200",2.90%
2022,October,Herkimer County,Not Seasonally Adjusted,"26,300",800,"27,100",3.00%
2022,October,Jefferson County,Not Seasonally Adjusted,"42,200","1,400","43,600",3.10%
2022,October,Kings County,Not Seasonally Adjusted,"1,146,400","63,200","1,209,600",5.20%
2022,October,Lewis County,Not Seasonally Adjusted,"11,200",300,"11,500",2.70%
2022,October,Livingston County,Not Seasonally Adjusted,"29,300",800,"30,100",2.60%
2022,October,Madison County,Not Seasonally Adjusted,"32,100",900,"33,000",2.70%
2022,October,Monroe County,Not Seasonally Adjusted,"353,900","10,700","364,600",2.90%
2022,October,Montgomery County,Not Seasonally Adjusted,"21,700",800,"22,400",3.40%
2022,October,Nassau County,Not Seasonally Adjusted,"712,400","18,000","730,400",2.50%
2022,October,New York County,Not Seasonally Adjusted,"883,700","37,600","921,300",4.10%
2022,October,Niagara County,Not Seasonally Adjusted,"95,200","3,000","98,200",3.00%
2022,October,Oneida County,Not Seasonally Adjusted,"96,800","3,000","99,700",3.00%
2022,October,Onondaga County,Not Seasonally Adjusted,"220,000","6,200","226,200",2.80%
2022,October,Ontario County,Not Seasonally Adjusted,"54,300","1,400","55,700",2.50%
2022,October,Orange County,Not Seasonally Adjusted,"184,700","5,200","189,900",2.80%
2022,October,Orleans County,Not Seasonally Adjusted,"16,500",500,"17,000",2.90%
2022,October,Oswego County,Not Seasonally Adjusted,"51,500","1,700","53,100",3.20%
2022,October,Otsego County,Not Seasonally Adjusted,"26,300",700,"27,100",2.70%
2022,October,Putnam County,Not Seasonally Adjusted,"50,100","1,300","51,400",2.50%
2022,October,Queens County,Not Seasonally Adjusted,"1,089,400","51,200","1,140,700",4.50%
2022,October,Rensselaer County,Not Seasonally Adjusted,"80,600","2,100","82,800",2.60%
2022,October,Richmond County,Not Seasonally Adjusted,"216,100","11,000","227,100",4.80%
2022,October,Rockland County,Not Seasonally Adjusted,"155,300","3,900","159,300",2.50%
2022,October,Saratoga County,Not Seasonally Adjusted,"119,800","2,700","122,500",2.20%
2022,October,Schenectady County,Not Seasonally Adjusted,"76,300","2,200","78,500",2.80%
2022,October,Schoharie County,Not Seasonally Adjusted,"14,300",400,"14,700",2.70%
2022,October,Schuyler County,Not Seasonally Adjusted,"7,900",200,"8,100",2.60%
2022,October,Seneca County,Not Seasonally Adjusted,"14,500",400,"14,900",2.60%
2022,October,St. Lawrence County,Not Seasonally Adjusted,"42,000","1,400","43,400",3.30%
2022,October,Steuben County,Not Seasonally Adjusted,"39,600","1,200","40,800",2.90%
2022,October,Suffolk County,Not Seasonally Adjusted,"779,800","20,900","800,700",2.60%
2022,October,Sullivan County,Not Seasonally Adjusted,"36,300","1,000","37,300",2.70%
2022,October,Tioga County,Not Seasonally Adjusted,"21,600",600,"22,200",2.60%
2022,October,Tompkins County,Not Seasonally Adjusted,"49,800","1,300","51,000",2.50%
2022,October,Ulster County,Not Seasonally Adjusted,"85,600","2,300","87,900",2.60%
2022,October,Warren County,Not Seasonally Adjusted,"30,400",800,"31,200",2.60%
2022,October,Washington County,Not Seasonally Adjusted,"26,700",700,"27,400",2.50%
2022,October,Wayne County,Not Seasonally Adjusted,"42,000","1,100","43,100",2.60%
2022,October,Westchester County,Not Seasonally Adjusted,"482,700","13,200","495,900",2.70%
2022,October,Wyoming County,Not Seasonally Adjusted,"16,900",400,"17,300",2.50%
2022,October,Yates County,Not Seasonally Adjusted,"11,200",300,"11,500",2.40%
2022,September,Albany County,Not Seasonally Adjusted,"155,700","4,500","160,200",2.80%
2022,September,Allegany County,Not Seasonally Adjusted,"18,700",600,"19,400",3.30%
2022,September,Bronx County,Not Seasonally Adjusted,"559,800","36,500","596,300",6.10%
2022,September,Broome County,Not Seasonally Adjusted,"79,400","2,700","82,100",3.30%
2022,September,Cattaraugus County,Not Seasonally Adjusted,"31,900","1,100","33,000",3.40%
2022,September,Cayuga County,Not Seasonally Adjusted,"35,100","1,000","36,100",2.90%
2022,September,Chautauqua County,Not Seasonally Adjusted,"52,500","1,800","54,200",3.30%
2022,September,Chemung County,Not Seasonally Adjusted,"33,600","1,200","34,800",3.40%
2022,September,Chenango County,Not Seasonally Adjusted,"21,400",600,"22,000",2.70%
2022,September,Clinton County,Not Seasonally Adjusted,"34,800","1,100","35,900",3.00%
2022,September,Columbia County,Not Seasonally Adjusted,"30,300",700,"31,100",2.40%
2022,September,Cortland County,Not Seasonally Adjusted,"22,200",700,"22,900",3.00%
2022,September,Delaware County,Not Seasonally Adjusted,"18,100",600,"18,700",3.20%
2022,September,Dutchess County,Not Seasonally Adjusted,"141,000","4,100","145,100",2.80%
2022,September,Erie County,Not Seasonally Adjusted,"432,300","14,300","446,500",3.20%
2022,September,Essex County,Not Seasonally Adjusted,"16,300",500,"16,800",2.70%
2022,September,Franklin County,Not Seasonally Adjusted,"18,700",600,"19,300",3.00%
2022,September,Fulton County,Not Seasonally Adjusted,"21,900",800,"22,600",3.40%
2022,September,Genesee County,Not Seasonally Adjusted,"29,400",800,"30,200",2.50%
2022,September,Greene County,Not Seasonally Adjusted,"19,700",600,"20,300",3.10%
2022,September,Hamilton County,Not Seasonally Adjusted,"2,200",100,"2,300",2.70%
2022,September,Herkimer County,Not Seasonally Adjusted,"26,400",900,"27,300",3.10%
2022,September,Jefferson County,Not Seasonally Adjusted,"42,900","1,500","44,300",3.30%
2022,September,Kings County,Not Seasonally Adjusted,"1,143,000","56,700","1,199,700",4.70%
2022,September,Lewis County,Not Seasonally Adjusted,"11,500",300,"11,800",2.80%
2022,September,Livingston County,Not Seasonally Adjusted,"29,600",900,"30,500",2.80%
2022,September,Madison County,Not Seasonally Adjusted,"32,200",900,"33,100",2.80%
2022,September,Monroe County,Not Seasonally Adjusted,"354,700","11,600","366,300",3.20%
2022,September,Montgomery County,Not Seasonally Adjusted,"21,800",800,"22,600",3.50%
2022,September,Nassau County,Not Seasonally Adjusted,"711,600","19,400","730,900",2.60%
2022,September,New York County,Not Seasonally Adjusted,"880,600","34,300","915,000",3.80%
2022,September,Niagara County,Not Seasonally Adjusted,"95,300","3,200","98,400",3.20%
2022,September,Oneida County,Not Seasonally Adjusted,"97,000","3,200","100,200",3.20%
2022,September,Onondaga County,Not Seasonally Adjusted,"219,100","6,800","225,800",3.00%
2022,September,Ontario County,Not Seasonally Adjusted,"54,600","1,400","56,000",2.60%
2022,September,Orange County,Not Seasonally Adjusted,"185,400","5,600","191,000",2.90%
2022,September,Orleans County,Not Seasonally Adjusted,"16,800",500,"17,300",3.10%
2022,September,Oswego County,Not Seasonally Adjusted,"51,300","1,800","53,100",3.40%
2022,September,Otsego County,Not Seasonally Adjusted,"26,300",800,"27,100",2.90%
2022,September,Putnam County,Not Seasonally Adjusted,"50,000","1,400","51,400",2.70%
2022,September,Queens County,Not Seasonally Adjusted,"1,086,700","46,200","1,132,900",4.10%
2022,September,Rensselaer County,Not Seasonally Adjusted,"80,300","2,300","82,600",2.80%
2022,September,Richmond County,Not Seasonally Adjusted,"216,000","9,900","225,900",4.40%
2022,September,Rockland County,Not Seasonally Adjusted,"155,100","4,100","159,300",2.60%
2022,September,Saratoga County,Not Seasonally Adjusted,"119,200","2,900","122,200",2.40%
2022,September,Schenectady County,Not Seasonally Adjusted,"75,900","2,400","78,300",3.00%
2022,September,Schoharie County,Not Seasonally Adjusted,"14,400",400,"14,800",2.90%
2022,September,Schuyler County,Not Seasonally Adjusted,"8,000",200,"8,200",2.70%
2022,September,Seneca County,Not Seasonally Adjusted,"14,600",400,"15,000",2.70%
2022,September,St. Lawrence County,Not Seasonally Adjusted,"42,100","1,500","43,500",3.40%
2022,September,Steuben County,Not Seasonally Adjusted,"40,300","1,200","41,500",3.00%
2022,September,Suffolk County,Not Seasonally Adjusted,"780,000","22,300","802,400",2.80%
2022,September,Sullivan County,Not Seasonally Adjusted,"36,700","1,100","37,700",2.80%
2022,September,Tioga County,Not Seasonally Adjusted,"21,700",600,"22,300",2.70%
2022,September,Tompkins County,Not Seasonally Adjusted,"49,100","1,300","50,500",2.60%
2022,September,Ulster County,Not Seasonally Adjusted,"85,400","2,400","87,800",2.80%
2022,September,Warren County,Not Seasonally Adjusted,"30,500",800,"31,300",2.70%
2022,September,Washington County,Not Seasonally Adjusted,"27,000",700,"27,700",2.60%
2022,September,Wayne County,Not Seasonally Adjusted,"42,600","1,200","43,800",2.70%
2022,September,Westchester County,Not Seasonally Adjusted,"481,400","14,200","495,600",2.90%
2022,September,Wyoming County,Not Seasonally Adjusted,"17,300",500,"17,800",2.60%
2022,September,Yates County,Not Seasonally Adjusted,"11,500",300,"11,800",2.40%
2022,August,Albany County,Not Seasonally Adjusted,"155,400","5,400","160,800",3.40%
2022,August,Allegany County,Not Seasonally Adjusted,"17,200",800,"18,000",4.30%
2022,August,Bronx County,Not Seasonally Adjusted,"561,300","42,900","604,300",7.10%
2022,August,Broome County,Not Seasonally Adjusted,"78,500","3,400","81,900",4.10%
2022,August,Cattaraugus County,Not Seasonally Adjusted,"30,600","1,400","32,000",4.30%
2022,August,Cayuga County,Not Seasonally Adjusted,"34,000","1,300","35,300",3.80%
2022,August,Chautauqua County,Not Seasonally Adjusted,"50,800","2,200","53,000",4.10%
2022,August,Chemung County,Not Seasonally Adjusted,"33,500","1,400","34,800",4.00%
2022,August,Chenango County,Not Seasonally Adjusted,"20,700",700,"21,400",3.30%
2022,August,Clinton County,Not Seasonally Adjusted,"33,400","1,300","34,700",3.90%
2022,August,Columbia County,Not Seasonally Adjusted,"30,000",900,"30,900",3.00%
2022,August,Cortland County,Not Seasonally Adjusted,"20,700",900,"21,600",4.00%
2022,August,Delaware County,Not Seasonally Adjusted,"17,500",700,"18,100",3.80%
2022,August,Dutchess County,Not Seasonally Adjusted,"141,700","4,900","146,600",3.30%
2022,August,Erie County,Not Seasonally Adjusted,"429,200","17,600","446,800",3.90%
2022,August,Essex County,Not Seasonally Adjusted,"16,600",600,"17,200",3.30%
2022,August,Franklin County,Not Seasonally Adjusted,"18,100",700,"18,800",3.70%
2022,August,Fulton County,Not Seasonally Adjusted,"21,200",900,"22,100",4.10%
2022,August,Genesee County,Not Seasonally Adjusted,"28,900",900,"29,800",3.10%
2022,August,Greene County,Not Seasonally Adjusted,"19,400",800,"20,200",3.80%
2022,August,Hamilton County,Not Seasonally Adjusted,"2,300",100,"2,400",2.90%
2022,August,Herkimer County,Not Seasonally Adjusted,"26,500","1,100","27,500",3.80%
2022,August,Jefferson County,Not Seasonally Adjusted,"43,600","1,800","45,400",4.00%
2022,August,Kings County,Not Seasonally Adjusted,"1,146,300","65,500","1,211,800",5.40%
2022,August,Lewis County,Not Seasonally Adjusted,"11,100",400,"11,500",3.70%
2022,August,Livingston County,Not Seasonally Adjusted,"29,200","1,000","30,200",3.30%
2022,August,Madison County,Not Seasonally Adjusted,"32,000","1,100","33,100",3.30%
2022,August,Monroe County,Not Seasonally Adjusted,"351,500","14,200","365,700",3.90%
2022,August,Montgomery County,Not Seasonally Adjusted,"21,100","1,000","22,100",4.40%
2022,August,Nassau County,Not Seasonally Adjusted,"719,000","24,000","742,900",3.20%
2022,August,New York County,Not Seasonally Adjusted,"883,200","39,100","922,300",4.20%
2022,August,Niagara County,Not Seasonally Adjusted,"94,500","4,000","98,500",4.10%
2022,August,Oneida County,Not Seasonally Adjusted,"97,300","3,900","101,200",3.80%
2022,August,Onondaga County,Not Seasonally Adjusted,"218,400","8,100","226,500",3.60%
2022,August,Ontario County,Not Seasonally Adjusted,"53,900","1,700","55,700",3.10%
2022,August,Orange County,Not Seasonally Adjusted,"186,500","6,800","193,400",3.50%
2022,August,Orleans County,Not Seasonally Adjusted,"16,500",700,"17,200",4.20%
2022,August,Oswego County,Not Seasonally Adjusted,"51,100","2,200","53,300",4.20%
2022,August,Otsego County,Not Seasonally Adjusted,"25,800","1,000","26,800",3.60%
2022,August,Putnam County,Not Seasonally Adjusted,"50,400","1,700","52,100",3.20%
2022,August,Queens County,Not Seasonally Adjusted,"1,089,800","53,000","1,142,800",4.60%
2022,August,Rensselaer County,Not Seasonally Adjusted,"80,100","2,700","82,800",3.30%
2022,August,Richmond County,Not Seasonally Adjusted,"216,700","12,000","228,700",5.20%
2022,August,Rockland County,Not Seasonally Adjusted,"156,300","5,200","161,500",3.20%
2022,August,Saratoga County,Not Seasonally Adjusted,"118,900","3,500","122,400",2.80%
2022,August,Schenectady County,Not Seasonally Adjusted,"75,700","2,900","78,600",3.60%
2022,August,Schoharie County,Not Seasonally Adjusted,"14,300",600,"14,800",3.80%
2022,August,Schuyler County,Not Seasonally Adjusted,"7,900",300,"8,200",3.20%
2022,August,Seneca County,Not Seasonally Adjusted,"14,400",500,"14,900",3.20%
2022,August,St. Lawrence County,Not Seasonally Adjusted,"38,800","1,900","40,800",4.80%
2022,August,Steuben County,Not Seasonally Adjusted,"39,200","1,500","40,700",3.60%
2022,August,Suffolk County,Not Seasonally Adjusted,"787,800","28,500","816,300",3.50%
2022,August,Sullivan County,Not Seasonally Adjusted,"37,200","1,300","38,600",3.40%
2022,August,Tioga County,Not Seasonally Adjusted,"21,400",700,"22,100",3.30%
2022,August,Tompkins County,Not Seasonally Adjusted,"47,000","1,500","48,500",3.20%
2022,August,Ulster County,Not Seasonally Adjusted,"84,800","3,100","87,800",3.50%
2022,August,Warren County,Not Seasonally Adjusted,"31,500","1,000","32,600",3.10%
2022,August,Washington County,Not Seasonally Adjusted,"27,800",900,"28,700",3.10%
2022,August,Wayne County,Not Seasonally Adjusted,"41,900","1,500","43,400",3.40%
2022,August,Westchester County,Not Seasonally Adjusted,"485,100","17,700","502,700",3.50%
2022,August,Wyoming County,Not Seasonally Adjusted,"16,800",600,"17,300",3.20%
2022,August,Yates County,Not Seasonally Adjusted,"11,200",300,"11,600",2.90%
2022,July,Albany County,Not Seasonally Adjusted,"155,500","5,400","160,900",3.30%
2022,July,Allegany County,Not Seasonally Adjusted,"17,400",800,"18,200",4.30%
2022,July,Bronx County,Not Seasonally Adjusted,"560,300","44,600","604,900",7.40%
2022,July,Broome County,Not Seasonally Adjusted,"78,900","3,400","82,200",4.10%
2022,July,Cattaraugus County,Not Seasonally Adjusted,"30,700","1,400","32,100",4.20%
2022,July,Cayuga County,Not Seasonally Adjusted,"34,400","1,300","35,600",3.60%
2022,July,Chautauqua County,Not Seasonally Adjusted,"51,200","2,100","53,300",4.00%
2022,July,Chemung County,Not Seasonally Adjusted,"33,800","1,400","35,100",3.90%
2022,July,Chenango County,Not Seasonally Adjusted,"20,800",700,"21,500",3.40%
2022,July,Clinton County,Not Seasonally Adjusted,"33,300","1,300","34,600",3.80%
2022,July,Columbia County,Not Seasonally Adjusted,"30,200",900,"31,100",2.90%
2022,July,Cortland County,Not Seasonally Adjusted,"20,900",900,"21,800",4.00%
2022,July,Delaware County,Not Seasonally Adjusted,"17,500",700,"18,200",4.00%
2022,July,Dutchess County,Not Seasonally Adjusted,"143,100","4,900","148,000",3.30%
2022,July,Erie County,Not Seasonally Adjusted,"428,300","17,100","445,400",3.80%
2022,July,Essex County,Not Seasonally Adjusted,"16,800",600,"17,300",3.20%
2022,July,Franklin County,Not Seasonally Adjusted,"18,400",700,"19,100",3.70%
2022,July,Fulton County,Not Seasonally Adjusted,"21,100",900,"22,000",4.00%
2022,July,Genesee County,Not Seasonally Adjusted,"29,000",900,"29,900",3.10%
2022,July,Greene County,Not Seasonally Adjusted,"19,600",700,"20,300",3.60%
2022,July,Hamilton County,Not Seasonally Adjusted,"2,400",100,"2,500",2.90%
2022,July,Herkimer County,Not Seasonally Adjusted,"26,800","1,000","27,800",3.70%
2022,July,Jefferson County,Not Seasonally Adjusted,"44,100","1,800","45,800",3.80%
