"Labor Force and Unemployment Data"

"Geographic Area:","County"
"Area","All Subsets for Selected Georgraphy"
"Time Frame:","2021"
"Not Seasonally Adjusted"
"Area","Year","Month","Labor Force","Employed","Unemployed","Area Rate","Massachusetts Rate"
"WORCESTER COUNTY","2021","January","443439","409177","34262","7.7","7.7"
"WORCESTER COUNTY","2021","February","442818","410519","32299","7.3","7.2"
"WORCESTER COUNTY","2021","March","443025","413140","29885","6.7","6.7"
"WORCESTER COUNTY","2021","April","442653","415933","26720","6.0","6.0"
"WORCESTER COUNTY","2021","May","441668","416320","25348","5.7","5.7"
"WORCESTER COUNTY","2021","June","447308","419510","27798","6.2","6.1"
"WORCESTER COUNTY","2021","July","448064","421453","26611","5.9","5.7"
"WORCESTER COUNTY","2021","August","446667","422565","24102","5.4","5.2"
"WORCESTER COUNTY","2021","September","437932","416732","21200","4.8","4.7"
"WORCESTER COUNTY","2021","October","440844","421595","19249","4.4","4.2"
"WORCESTER COUNTY","2021","November","443793","426637","17156","3.9","3.8"
"WORCESTER COUNTY","2021","December","442745","426079","16666","3.8","3.6"
"WORCESTER COUNTY","2021","Annual","443413","418305","25108","5.7","5.5"

"The labor force estimates for towns with 2010 Census population of less than 1,000 were produced using the BLS methodology, but are not official BLS estimates."

"This workforce product was funded by a grant awarded by the U.S. Department of Labor's Employment and Training Administration. The product was created by the recipient and does not necessarily reflect the official position of the U.S. Department of Labor. The Department of Labor makes no guarantees, warranties, or assurances of any kind, express or implied, with respect to such information, including any information on linked sites and including, but not limited to, accuracy of the information or its completeness, timeliness, usefulness, adequacy, continued availability, or ownership. This product is copyrighted by the institution that created it. Internal use by an organization and/or personal use by an individual for non-commercial purposes is permissible. All other uses require the prior authorization of the copyright owner."
"The Federal Government reserves a paid-up, nonexclusive and irrevocable license to reproduce, publish or otherwise use, and to authorize others to use for federal purposes: i) the copyright in all products developed under the grant, including a subgrant or contract under the grant or subgrant; and ii) any rights of copyright to which the recipient, subrecipient or a contractor purchases ownership under an award (including but not limited to curricula, training models, technical assistance products, and any related materials). Such uses include, but are not limited to, the right to modify and distribute such products worldwide by any means, electronically or otherwise. Federal funds may not be used to pay any royalty or license fee for use of a copyrighted work, or the cost of acquiring by purchase a copyright in a work, where the Department has a license or rights of free use in such work, although they may be used to pay costs for obtaining a copy which is limited to the developer/seller costs of copying and shipping. If revenues are generated through selling products developed with grant funds, including intellectual property, these revenues are program income. Program income must be used in accordance with the provisions of this grant award and 2 CFR 200.307."
